ablation_name,global_top1,global_top3,global_top5,false_bundle_retrieval_rate,focus_top1_count,focus_success_count,regression_event_count,improved_event_count,unchanged_failure_count,unchanged_success_count,target_in_top3_but_lost_top1_count,wrong_bundle_accessibility_too_high_count,hub_bundle_dominance_count,bundle552_top1_count,proto0_top5_share,strict_anchor_real_svr,strict_anchor_shuffled_svr,wrong_old_prototype_visible_count,unsafe_component_count,selected_as_best,eligible_for_best
A0_E31_combined_baseline,0.35294117647058826,0.6470588235294118,0.7058823529411765,0.6470588235294118,3,3,0,0,0,6,5,0,0,1,0.17647058823529413,0.7058823529411765,0.23529411764705882,2,0,1,0
A1_freeze_gate_only,0.35294117647058826,0.6470588235294118,0.7058823529411765,0.6470588235294118,3,3,0,0,11,6,5,0,0,1,0.17647058823529413,0.7058823529411765,0.23529411764705882,2,0,0,0
A2_strict_swap_gate_only,0.35294117647058826,0.6470588235294118,0.7058823529411765,0.6470588235294118,3,3,0,0,11,6,5,0,0,1,0.17647058823529413,0.7058823529411765,0.23529411764705882,2,0,0,0
A3_pairwise_top3_comparator_only,0.35294117647058826,0.6470588235294118,0.7058823529411765,0.6470588235294118,3,3,0,0,11,6,5,0,0,1,0.17647058823529413,0.7058823529411765,0.23529411764705882,2,0,0,0
A4_freeze_plus_strict_swap,0.35294117647058826,0.6470588235294118,0.7058823529411765,0.6470588235294118,3,3,0,0,11,6,5,0,0,1,0.17647058823529413,0.7058823529411765,0.23529411764705882,2,0,0,0
A5_freeze_plus_pairwise,0.35294117647058826,0.6470588235294118,0.7058823529411765,0.6470588235294118,3,3,0,0,11,6,5,0,0,1,0.17647058823529413,0.7058823529411765,0.23529411764705882,2,0,0,0
A6_strict_swap_plus_pairwise,0.35294117647058826,0.6470588235294118,0.7058823529411765,0.6470588235294118,3,3,0,0,11,6,5,0,0,1,0.17647058823529413,0.7058823529411765,0.23529411764705882,2,0,0,0
A7_full_E32b_safe_top3,0.35294117647058826,0.6470588235294118,0.7058823529411765,0.6470588235294118,3,3,0,0,11,6,5,0,0,1,0.17647058823529413,0.7058823529411765,0.23529411764705882,2,0,0,0
A8_full_E32b_no_content_score,0.35294117647058826,0.6470588235294118,0.7058823529411765,0.6470588235294118,3,3,0,0,11,6,5,0,0,1,0.17647058823529413,0.7058823529411765,0.23529411764705882,2,0,0,0
A9_full_E32b_high_margin_swap_only,0.35294117647058826,0.6470588235294118,0.7058823529411765,0.6470588235294118,3,3,0,0,11,6,5,0,0,1,0.17647058823529413,0.7058823529411765,0.23529411764705882,2,0,0,0
A10_full_E32b_no_bundle552_swap,0.35294117647058826,0.6470588235294118,0.7058823529411765,0.6470588235294118,3,3,0,0,11,6,5,0,0,1,0.17647058823529413,0.7058823529411765,0.23529411764705882,2,0,0,0
